CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-04 15:15:00,9.0,15114.0,4.0,23.0,1593832000.0,5660268000.0,32.0,53.0,43.5,503296921.4430709,621229314.324254,584780.0217154361,716462.650841723
2018-08-04 15:30:00,8.0,15032.0,6.0,24.0,1592768000.0,5661332000.0,32.0,53.0,43.5,478606776.11773235,597006402.3161575,560528.9583902749,695457.9393702588
2018-08-04 15:45:00,9.0,14892.0,6.0,24.0,1593184000.0,5660916000.0,30.0,54.0,43.7,525089509.9965678,642045984.1279917,611576.9247172315,743719.6688990338
2018-08-04 16:00:00,7.0,14778.0,7.0,24.0,1591504000.0,5662596000.0,32.0,54.0,43.7,528396379.6478834,644956693.8680552,614226.8356788476,745595.5524961943
2018-08-04 16:15:00,8.0,14738.0,4.0,24.0,1591176000.0,5662924000.0,33.0,54.0,43.7,518996893.98527694,636529210.4696136,600259.9303508438,732106.957007689
2018-08-04 16:30:00,11.0,14682.0,4.0,25.0,1590908000.0,5663192000.0,32.0,54.0,43.7,508746573.984823,626581011.2682811,590112.6382115451,722314.0022452906
2018-08-04 16:45:00,1.0,14659.0,2.0,22.0,1593656000.0,5660444000.0,32.0,54.0,43.5,505329423.3737519,623001571.8469642,587161.4003240035,719880.4186989251
2018-08-04 17:00:00,1.0,14584.0,6.0,23.0,1592404000.0,5661696000.0,31.0,54.0,43.4,500854500.3719841,618349311.9115593,582576.147910062,715323.8131594018
2018-08-04 17:15:00,2.0,14635.0,6.0,24.0,1592656000.0,5661444000.0,31.0,54.0,43.3,479178992.2086692,595992552.7494533,558502.660215966,691468.5973131526
2018-08-04 17:30:00,2.0,14461.0,7.0,23.0,1592700000.0,5661400000.0,31.0,53.0,43.5,472563030.523561,590039323.0192277,551988.3956183733,686328.6685885339
2018-08-04 17:45:00,12.0,14448.0,5.0,21.0,1592956000.0,5661144000.0,30.0,54.0,43.2,472319785.3194821,590696847.1218277,553441.5479017238,687797.9522628525
2018-08-04 18:00:00,2.0,14388.0,3.0,21.0,1593296000.0,5660804000.0,32.0,53.0,43.5,470187668.2847584,588294691.3699236,550489.7353981757,685031.5145584992
2018-08-04 18:15:00,2.0,14347.0,2.0,22.0,1592852000.0,5661248000.0,32.0,54.0,43.6,460820596.0412139,578999653.382612,541653.7491483265,676789.4751068756
2018-08-04 18:30:00,4.0,13750.0,7.0,21.0,1592468000.0,5661632000.0,32.0,54.0,44.1,468489080.03743166,587014679.0503322,549930.8814271425,685014.6020479789
2018-08-04 18:45:00,3.0,13905.0,5.0,23.0,1594112000.0,5659988000.0,32.0,54.0,44.0,472115023.46368426,589340480.8858476,552827.3606349784,684966.1637145022
2018-08-04 21:30:00,4.0,12342.0,5.0,18.0,1591664000.0,5662432000.0,32.0,53.0,43.0,500936093.88585943,619440639.7546548,587814.9615740502,721929.6239432411
2018-08-04 21:45:00,2.0,12215.0,4.0,18.0,1591700000.0,5662396000.0,33.0,53.0,43.7,501657915.3685484,619760061.9879727,587874.5552643014,722010.398854178
2018-08-04 22:00:00,3.0,11909.0,3.0,18.0,1591648000.0,5662448000.0,31.0,54.0,43.5,510496989.2588875,628490390.8841372,599853.4803740472,733070.5172399356
2018-08-04 22:15:00,1.0,11833.0,1.0,18.0,1591700000.0,5662396000.0,32.0,55.0,44.8,519692670.68327194,637531419.3451942,607773.0974891143,741285.8997471404
2018-08-04 22:30:00,3.0,11688.0,0.0,18.0,1594436000.0,5659660000.0,33.0,55.0,44.9,526541233.6122402,645447467.4093568,620935.5791307326,756325.1878890683
2018-08-04 22:45:00,2.0,11538.0,1.0,17.0,1592752000.0,5661344000.0,33.0,55.0,44.7,522756682.3449201,641937871.9581856,617412.8221273823,752617.8116535157
2018-08-04 23:00:00,4.0,11617.0,6.0,19.0,1592620000.0,5661476000.0,32.0,54.0,43.9,514744244.2291572,634518830.563029,605936.2147788906,741267.5508850084
2018-08-04 23:15:00,4.0,11452.0,4.0,18.0,1592592000.0,5661504000.0,32.0,53.0,43.3,505458844.8078115,625391659.0545866,592601.6967382987,726764.788157022
2018-08-04 23:30:00,4.0,11295.0,1.0,18.0,1591960000.0,5662136000.0,31.0,53.0,42.9,483836722.97044253,604210676.3249105,564015.3246190215,697991.0612818483
2018-08-04 23:45:00,2.0,11217.0,5.0,18.0,1592920000.0,5661176000.0,31.0,53.0,42.8,453522929.24648994,573442567.6168027,528739.5275252082,661797.7066051543
2018-08-05 00:30:00,2.0,10922.0,5.0,16.0,1594732000.0,5659364000.0,30.0,52.0,42.3,342496991.45632297,463281900.77458715,400017.11925333086,537742.1117012136
2018-08-05 00:45:00,4.0,10769.0,1.0,18.0,1595092000.0,5659004000.0,32.0,52.0,42.5,273179184.7894931,393950347.8584878,322200.98488557636,463131.67468713236
2018-08-05 01:00:00,1.0,10841.0,1.0,15.0,1596112000.0,5657984000.0,31.0,52.0,42.1,239576919.27784646,360432972.70801574,284072.5105171536,426595.4492719938
2018-08-05 01:15:00,4.0,10777.0,5.0,15.0,1596156000.0,5657940000.0,31.0,51.0,41.9,220730429.5780893,341820750.9250783,260623.31757201318,402538.80373148894
2018-08-05 01:45:00,2.0,10625.0,5.0,15.0,1596612000.0,5657484000.0,30.0,51.0,41.7,181661085.35012525,302879365.3398277,216653.31340904898,360240.80587149615
2018-08-05 02:15:00,3.0,10548.0,3.0,17.0,1597328000.0,5656768000.0,32.0,51.0,42.0,141957716.79230368,263288286.08420825,172554.19559857756,318392.94604723295
2018-08-05 02:45:00,3.0,10489.0,5.0,18.0,1597552000.0,5656544000.0,30.0,52.0,42.1,119837678.80877218,232884875.7757349,146488.37847925047,282884.933765395
2018-08-05 03:45:00,5.0,9610.0,8.0,20.0,1592312000.0,5661784000.0,30.0,51.0,41.8,85613243.8223054,167396166.07311025,107959.9526987687,209151.5961589592
